mission_id,,bc_mission_descriptor,bc_mission_name,,odf_cruiseNumber,odf_cruise
18NE09841,,18NE09841,NED2009841,,NED2009841,5Z4VsW GEORGES BANK
18NE09002,,18NE09002,NED2009002,,NED2009002,4VWs EASTERN SCOTIAN SHELF
18HU09005,,18HU09005,HUD2009005,,HUD2009005,SCOTIAN SHELF
18NE09027,,18NE09027,NED2009027,,NED2009027,4VX SCOTIAN SHELF
18HU09048,,18HU09048,HUD2009048,,HUD2009048,SCOTIAN SHELF SLOPE LAURENTIAN FAN SW GRAND BANKS SLOPE
18VA10666,,18VA10666,Station 2,,BCD2010666,STATION 2 (SCOTIAN SHELF)
18NE10001,,18NE10001,NED2010-001,,NED2010001,GEORGES BANK
18NE10002,,18NE10002,NED2010-002,,NED2010002,4VsW EASTERN SCOTIAN SHELF
18HU10006,,18HU10006,HUD2010006,,HUD2010006,AZMP
18HU10014,,18HU10014,HUD2010014,,HUD2010014,LABRADOR SEA
18NE10027,,18NE10027,NED2010-027,,NED2010027,4VWX SCOTIAN SHELF
,,,,,HUD2010055,Transects PMZA/ice forecast
18HU10070,,18HU10070,IML-2010-070 Monito sections P,,,
18HU10049,,18HU10049,AZMP fall cruise,,HUD2010049,AZMP
18VA11666,,18VA11666,BCD2011666,,BCD2011666,STATION 2 (SCOTIAN SHELF)
18NE11002,,18NE11002,NED2011002,,NED2011002,5Z GEORGES BANK
18HU11004,,18HU11004,HUD2011004,,HUD2011004,SCOTIAN SHELF
18HU11009,,18HU11009,HUD2011009,,HUD2011009,LABRADOR SEA ~ LAURENTIAN FAN ~ SCOTIAN SHELF AND SLOPE
18NE11025,,18NE11025,NED2011025,,NED2011025,4VWX SCOTIAN SHELF
18HU11043,,18HU11043,HUD2011043,,HUD2011043,SCOTIAN SHELF
18VA12666,,18VA12666,BCD2012666,,BCD2012666,SCOTIAN SHELF
18NE12002,,18NE12002,NED2012002,,NED2012002,GEORGES BANK ~ GULF OF MAINE ~ BAY OF FUNDY ~ SCOTIAN SHELF (NAFO AREAS 4WX5)
18MF12001,,18MF12001,MLB2012001,,MLB2012001,LABRADOR SEA
18NE12022,,18NE12022,NED2012022,,NED2012022,GULF OF MAINE ~ BAY OF FUNDY ~ SCOTIAN SHELF
18HU12042,,18HU12042,HUD2012042,,HUD2012042,SCOTIAN SHELF
18VA13666,,18VA13666,BCD2013666,,BCD2013666,SCOTIAN SHELF
18NE13002,,18NE13002,NED2013002,,NED2013002,Georges Bank
18NE13002,,18NE13002,NED2013002,,NED2013002,5Z GEORGES BANKS ~ 4X WESTERN SCOTIAN SHELF ~ GEAR EXPERIMENT
18HU13004,,18HU13004,HUD2013004,,HUD2013004,SCOTIAN SHELF
18HU13008,,18HU13008,HUD2013008,,HUD2013008,LABRADOR SEA
18HU13013,,18HU13013,HUD2013013,,HUD2013013,BAY OF FUNDY ~ MINAS BASIN
18NE13022,,18NE13022,NED2013022,,NED2013022,Scotian Shelf ~ 4VWX
18HU13037,,18HU13037,HUD2013037,,HUD2013037,SCOTIAN SHELF
18VA14666,,18VA14666,BCD2014666,,BCD2014666,Scotian Shelf
18NE14002,,18NE14002,NED2014002,,NED2014002,GEORGES BANK
18NE14101,,18NE14101,NED2014101,,NED2014101,SCOTIAN SHELF ~ NAFO AREA 4X
18HU14004,,18HU14004,HUD2014004,,HUD2014004,SCOTIAN SHELF AND SLOPE
18HU14007,,18HU14007,HUD2014007,,HUD2014007,Labrador Sea
,,,,,NED2014015,SCOTIAN SHELF
18NE14018,,18NE14018,NED2014018,,NED2014018,SCOTIAN SHELF ~ NAFO AREAS 4VWX
18HU14030,,18HU14030,HUD2014030,,HUD2014030,SCOTIAN SHELF AND SLOPE
18VA15666,,18VA15666,BCD2015666,,BCD2015666,SCOTIAN SHELF
18NE15002,,18NE15002,NED2015002,,NED2015002,GEORGES BANK
18HU15004,,18HU15004,HUD2015004,,HUD2015004,SCOTIAN SHELF AND SLOPE
18HU15006,,18HU15006,HUD2015006,,HUD2015006,LABRADOR SEA
18NE15015,,18NE15015,NED2015015,,NED2015015,SCOTIAN SHELF
18NE15017,,18NE15017,NED2015017,,NED2015017,SCOTIAN SHELF ~ NAFO AREAS 4VWX
