"year","station","temperature_in_air"
1880,"Saint John",3.76
1881,"Saint John",3.87
1882,"Saint John",3.11
1883,"Saint John",2.98
1884,"Saint John",3.28
1885,"Saint John",3.19
1886,"Saint John",3.89
1887,"Saint John",3.33
1888,"Saint John",2.98
1889,"Saint John",4.97
1890,"Saint John",4
1891,"Saint John",5.03
1892,"Saint John",4.56
1893,"Saint John",3.85
1894,"Saint John",4.06
1895,"Saint John",4.66
1896,"Saint John",4.09
1897,"Saint John",4.28
1898,"Saint John",4.77
1899,"Saint John",4.17
1900,"Saint John",4.86
1901,"Saint John",5.07
1902,"Saint John",5.22
1903,"Saint John",4.78
1904,"Saint John",3.26
1905,"Saint John",3.87
1906,"Saint John",4.89
1907,"Saint John",3.78
1908,"Saint John",4.82
1909,"Saint John",4.97
1910,"Saint John",5.34
1911,"Saint John",4.58
1912,"Saint John",3.97
1913,"Saint John",5.14
1914,"Saint John",3.97
1915,"Saint John",5.38
1916,"Saint John",4.13
1917,"Saint John",3.31
1918,"Saint John",3.8
1919,"Saint John",4.61
1920,"Saint John",4.3
1921,"Saint John",5.12
1922,"Saint John",4.24
1923,"Saint John",3.51
1924,"Saint John",4.2
1925,"Saint John",4.26
1926,"Saint John",3.61
1927,"Saint John",5.07
1928,"Saint John",4.8
1929,"Saint John",4.53
1930,"Saint John",5.36
1931,"Saint John",5.91
1932,"Saint John",5.36
1933,"Saint John",4.75
1934,"Saint John",4.07
1935,"Saint John",4.37
1936,"Saint John",4.71
1937,"Saint John",5.95
1938,"Saint John",5.18
1939,"Saint John",4.57
1940,"Saint John",4.38
1941,"Saint John",4.77
1942,"Saint John",5.02
1943,"Saint John",4.37
1944,"Saint John",5.07
1945,"Saint John",5.12
1946,"Saint John",5.22
1947,"Saint John",4.23
1948,"Saint John",3.38
1949,"Saint John",4.81
1950,"Saint John",3.85
1952,"Saint John",5.69
1953,"Saint John",6.54
1954,"Saint John",5.37
1955,"Saint John",4.58
1956,"Saint John",4.28
1957,"Saint John",5.21
1958,"Saint John",4.77
1959,"Saint John",4.91
1960,"Saint John",5.61
1961,"Saint John",4.72
1962,"Saint John",4.32
1963,"Saint John",4.18
1964,"Saint John",4.41
1965,"Saint John",3.79
1966,"Saint John",5.21
1967,"Saint John",4.02
1968,"Saint John",4.57
1969,"Saint John",5.52
1970,"Saint John",4.47
1971,"Saint John",4.82
1972,"Saint John",3.97
1973,"Saint John",5.77
1974,"Saint John",4.59
1975,"Saint John",4.85
1976,"Saint John",4.82
1977,"Saint John",5.01
1978,"Saint John",4.3
1979,"Saint John",5.82
1980,"Saint John",4.42
1981,"Saint John",5.43
1982,"Saint John",4.53
1983,"Saint John",6.03
1984,"Saint John",5.68
1985,"Saint John",4.46
1986,"Saint John",4.62
1987,"Saint John",4.89
1988,"Saint John",4.97
1989,"Saint John",4.2
1990,"Saint John",5.94
1991,"Saint John",5.46
1992,"Saint John",4.32
1993,"Saint John",4.6
1994,"Saint John",4.97
1995,"Saint John",5.37
1996,"Saint John",5.27
1997,"Saint John",4.59
1998,"Saint John",6.43
1999,"Saint John",7.09
2000,"Saint John",5.67
2001,"Saint John",5.8
2002,"Saint John",5.53
2003,"Saint John",5.07
2004,"Saint John",4.67
2005,"Saint John",5.82
2006,"Saint John",7.02
2007,"Saint John",5.21
2008,"Saint John",6.07
2009,"Saint John",5.39
2010,"Saint John",7.2
2011,"Saint John",6.32
2012,"Saint John",7
2013,"Saint John",5.77
2014,"Saint John",5.62
2015,"Saint John",5.06
2016,"Saint John",6.4
2017,"Saint John",6.28
2018,"Saint John",5.87
2019,"Saint John",5.37
2020,"Saint John",6.18
1870,"Sydney",5.502
1872,"Sydney",3.935
1873,"Sydney",3.766
1874,"Sydney",4.035
1875,"Sydney",2.91
1876,"Sydney",4.16
1877,"Sydney",4.643
1878,"Sydney",5.659
1879,"Sydney",4.193
1880,"Sydney",4.102
1881,"Sydney",4.427
1882,"Sydney",4.085
1883,"Sydney",3.952
1884,"Sydney",4.202
1885,"Sydney",4.535
1886,"Sydney",5.685
1887,"Sydney",4.818
1888,"Sydney",4.477
1889,"Sydney",6.618
1890,"Sydney",4.718
1891,"Sydney",5.518
1892,"Sydney",5.893
1893,"Sydney",5.107
1894,"Sydney",4.435
1895,"Sydney",5.493
1896,"Sydney",4.902
1897,"Sydney",4.818
1898,"Sydney",5.635
1899,"Sydney",4.868
1900,"Sydney",5.518
1901,"Sydney",6.385
1902,"Sydney",6.002
1903,"Sydney",4.652
1904,"Sydney",4.177
1905,"Sydney",4.118
1906,"Sydney",5.502
1907,"Sydney",4.093
1908,"Sydney",5.627
1909,"Sydney",5.81
1910,"Sydney",6.252
1911,"Sydney",5.093
1912,"Sydney",4.885
1913,"Sydney",5.91
1914,"Sydney",4.468
1915,"Sydney",5.81
1916,"Sydney",5.452
1917,"Sydney",5.193
1918,"Sydney",4.81
1919,"Sydney",5.618
1920,"Sydney",5.46
1921,"Sydney",5.302
1922,"Sydney",4.552
1923,"Sydney",4.16
1924,"Sydney",5.343
1925,"Sydney",4.535
1926,"Sydney",4.427
1927,"Sydney",5.743
1928,"Sydney",5.56
1929,"Sydney",5.193
1930,"Sydney",6.41
1931,"Sydney",6.752
1932,"Sydney",5.835
1933,"Sydney",5.468
1934,"Sydney",5.068
1935,"Sydney",5.135
1936,"Sydney",5.96
1937,"Sydney",6.752
1938,"Sydney",6.102
1939,"Sydney",5.193
1940,"Sydney",4.993
1941,"Sydney",4.785
1942,"Sydney",6.402
1943,"Sydney",5.168
1944,"Sydney",6.302
1945,"Sydney",6.485
1946,"Sydney",6.268
1947,"Sydney",6.243
1948,"Sydney",5.252
1949,"Sydney",6.635
1950,"Sydney",5.802
1951,"Sydney",7.293
1952,"Sydney",6.818
1953,"Sydney",7.01
1954,"Sydney",6.485
1955,"Sydney",5.868
1956,"Sydney",5.785
1957,"Sydney",5.743
1958,"Sydney",6.368
1959,"Sydney",5.51
1960,"Sydney",6.76
1961,"Sydney",6.152
1962,"Sydney",5.352
1963,"Sydney",5.727
1964,"Sydney",5.168
1965,"Sydney",5.027
1966,"Sydney",6.76
1967,"Sydney",6.193
1968,"Sydney",5.835
1969,"Sydney",6.902
1970,"Sydney",5.918
1971,"Sydney",6.185
1972,"Sydney",4.835
1973,"Sydney",5.843
1974,"Sydney",4.752
