year,area_name,density_gradient_0_50,temperature_at_sea_floor,cold_intermediate_layer_volume,minimum_temperature_in_cold_intermediate_layer,area
1948,Scotion Shelf,-0.00139,NA,NA,NA,Scotion Shelf
1949,Scotion Shelf,-0.00968,NA,NA,NA,Scotion Shelf
1950,Scotion Shelf,-0.01883,NA,NA,NA,Scotion Shelf
1951,Scotion Shelf,-0.00092,NA,NA,NA,Scotion Shelf
1952,Scotion Shelf,0.00155,NA,NA,NA,Scotion Shelf
1953,Scotion Shelf,-0.00313,NA,NA,NA,Scotion Shelf
1954,Scotion Shelf,-0.0081,NA,NA,NA,Scotion Shelf
1955,Scotion Shelf,0.00138,NA,NA,NA,Scotion Shelf
1956,Scotion Shelf,-0.0107,NA,NA,NA,Scotion Shelf
1957,Scotion Shelf,0.00166,NA,NA,NA,Scotion Shelf
1958,Scotion Shelf,-0.01261,NA,NA,NA,Scotion Shelf
1959,Scotion Shelf,-0.0045,NA,NA,NA,Scotion Shelf
1960,Scotion Shelf,-0.00675,NA,NA,NA,Scotion Shelf
1961,Scotion Shelf,-0.00554,NA,NA,NA,Scotion Shelf
1962,Scotion Shelf,-0.00914,NA,NA,NA,Scotion Shelf
1963,Scotion Shelf,-0.00468,NA,NA,NA,Scotion Shelf
1964,Scotion Shelf,-0.0063,NA,NA,NA,Scotion Shelf
1965,Scotion Shelf,-0.00599,NA,NA,NA,Scotion Shelf
1966,Scotion Shelf,-0.00485,NA,NA,NA,Scotion Shelf
1967,Scotion Shelf,-0.00387,NA,NA,NA,Scotion Shelf
1968,Scotion Shelf,-0.00841,NA,NA,NA,Scotion Shelf
1969,Scotion Shelf,-0.00674,NA,NA,NA,Scotion Shelf
1970,Scotion Shelf,-0.00289,NA,NA,NA,Scotion Shelf
1971,Scotion Shelf,-0.00294,NA,NA,NA,Scotion Shelf
1972,Scotion Shelf,-0.00578,NA,NA,NA,Scotion Shelf
1973,Scotion Shelf,-0.00339,NA,NA,NA,Scotion Shelf
1974,Scotion Shelf,-0.01529,NA,NA,NA,Scotion Shelf
1975,Scotion Shelf,-0.00859,NA,NA,NA,Scotion Shelf
1976,Scotion Shelf,-0.00662,NA,NA,NA,Scotion Shelf
1977,Scotion Shelf,-0.00272,NA,NA,NA,Scotion Shelf
1978,Scotion Shelf,0.00044,NA,NA,NA,Scotion Shelf
1979,Scotion Shelf,-0.00531,NA,NA,NA,Scotion Shelf
1980,Scotion Shelf,-0.00796,NA,NA,NA,Scotion Shelf
1981,Scotion Shelf,-0.0014,NA,NA,NA,Scotion Shelf
1982,Scotion Shelf,-0.00486,NA,NA,NA,Scotion Shelf
1983,Scotion Shelf,0.00265,NA,NA,NA,Scotion Shelf
1984,Scotion Shelf,-0.00276,NA,NA,NA,Scotion Shelf
1985,Scotion Shelf,-0.01193,NA,NA,NA,Scotion Shelf
1986,Scotion Shelf,-0.00847,NA,NA,NA,Scotion Shelf
1987,Scotion Shelf,-0.00121,NA,NA,NA,Scotion Shelf
1988,Scotion Shelf,-0.00017,NA,NA,NA,Scotion Shelf
1989,Scotion Shelf,-0.00493,NA,NA,NA,Scotion Shelf
1990,Scotion Shelf,-0.00486,NA,NA,NA,Scotion Shelf
1991,Scotion Shelf,0.00107,NA,NA,NA,Scotion Shelf
1992,Scotion Shelf,-0.00285,NA,NA,NA,Scotion Shelf
1993,Scotion Shelf,-0.00067,NA,NA,NA,Scotion Shelf
1994,Scotion Shelf,0.0065,NA,NA,NA,Scotion Shelf
1995,Scotion Shelf,-2e-05,NA,NA,NA,Scotion Shelf
1996,Scotion Shelf,-0.0013,NA,NA,NA,Scotion Shelf
1997,Scotion Shelf,-0.00037,NA,NA,NA,Scotion Shelf
1998,Scotion Shelf,0.01015,NA,NA,NA,Scotion Shelf
1999,Scotion Shelf,0.00394,NA,NA,NA,Scotion Shelf
2000,Scotion Shelf,-0.00014,NA,NA,NA,Scotion Shelf
2001,Scotion Shelf,-0.00224,NA,NA,NA,Scotion Shelf
2002,Scotion Shelf,-0.00478,NA,NA,NA,Scotion Shelf
2003,Scotion Shelf,9e-04,NA,NA,NA,Scotion Shelf
2004,Scotion Shelf,-0.00396,NA,NA,NA,Scotion Shelf
2005,Scotion Shelf,0.00068,NA,NA,NA,Scotion Shelf
2006,Scotion Shelf,0.00374,NA,NA,NA,Scotion Shelf
2007,Scotion Shelf,0.00153,NA,NA,NA,Scotion Shelf
2008,Scotion Shelf,0.00379,NA,NA,NA,Scotion Shelf
2009,Scotion Shelf,-0.00242,NA,NA,NA,Scotion Shelf
2010,Scotion Shelf,0.00594,NA,NA,NA,Scotion Shelf
2011,Scotion Shelf,-0.00529,NA,NA,NA,Scotion Shelf
2012,Scotion Shelf,0.00596,NA,NA,NA,Scotion Shelf
2013,Scotion Shelf,0.00603,NA,NA,NA,Scotion Shelf
2014,Scotion Shelf,0.00143,NA,NA,NA,Scotion Shelf
2015,Scotion Shelf,-0.00128,NA,NA,NA,Scotion Shelf
2016,Scotion Shelf,0.00391,NA,NA,NA,Scotion Shelf
2017,Scotion Shelf,0.00281,NA,NA,NA,Scotion Shelf
2018,Scotion Shelf,-0.00271,NA,NA,NA,Scotion Shelf
2019,Scotion Shelf,0.00027,NA,NA,NA,Scotion Shelf
1952,Cabot Strait,NA,4.872,NA,NA,NA
1953,Cabot Strait,NA,5.054,NA,NA,NA
1954,Cabot Strait,NA,5.362,NA,NA,NA
1955,Cabot Strait,NA,4.777,NA,NA,NA
1956,Cabot Strait,NA,4.867,NA,NA,NA
1957,Cabot Strait,NA,5.495,NA,NA,NA
1959,Cabot Strait,NA,4.772,NA,NA,NA
1960,Cabot Strait,NA,4.662,NA,NA,NA
1961,Cabot Strait,NA,4.9,NA,NA,NA
1962,Cabot Strait,NA,4.878,NA,NA,NA
1964,Cabot Strait,NA,4.409,NA,NA,NA
1965,Cabot Strait,NA,4.073,NA,NA,NA
1966,Cabot Strait,NA,4.018,NA,NA,NA
1967,Cabot Strait,NA,4.258,NA,NA,NA
1968,Cabot Strait,NA,4.591,NA,NA,NA
1969,Cabot Strait,NA,4.98,NA,NA,NA
1970,Cabot Strait,NA,5.299,NA,NA,NA
1971,Cabot Strait,NA,5.283,NA,NA,NA
1972,Cabot Strait,NA,5.188,NA,NA,NA
1973,Cabot Strait,NA,5.249,NA,NA,NA
1974,Cabot Strait,NA,5.397,NA,NA,NA
1975,Cabot Strait,NA,5.284,NA,NA,NA
1976,Cabot Strait,NA,5.901,NA,NA,NA
1977,Cabot Strait,NA,5.848,NA,NA,NA
1978,Cabot Strait,NA,6.105,NA,NA,NA
1979,Cabot Strait,NA,6.473,NA,NA,NA
1980,Cabot Strait,NA,5.979,NA,NA,NA
1981,Cabot Strait,NA,5.721,NA,NA,NA
1982,Cabot Strait,NA,5.512,NA,NA,NA
1983,Cabot Strait,NA,5.785,NA,NA,NA
1984,Cabot Strait,NA,5.856,NA,NA,NA
1985,Cabot Strait,NA,6.151,NA,NA,NA
1986,Cabot Strait,NA,6.081,NA,NA,NA
1987,Cabot Strait,NA,5.761,NA,NA,NA
1988,Cabot Strait,NA,5.679,NA,NA,NA
1989,Cabot Strait,NA,5.654,NA,NA,NA
1990,Cabot Strait,NA,5.344,NA,NA,NA
1991,Cabot Strait,NA,4.521,NA,NA,NA
1992,Cabot Strait,NA,5.25,NA,NA,NA
1993,Cabot Strait,NA,6.161,NA,NA,NA
1994,Cabot Strait,NA,5.61,NA,NA,NA
1995,Cabot Strait,NA,5.522,NA,NA,NA
1996,Cabot Strait,NA,5.469,NA,NA,NA
1997,Cabot Strait,NA,5.769,NA,NA,NA
1998,Cabot Strait,NA,5.326,NA,NA,NA
1999,Cabot Strait,NA,5.892,NA,NA,NA
2000,Cabot Strait,NA,5.705,NA,NA,NA
2001,Cabot Strait,NA,5.834,NA,NA,NA
2002,Cabot Strait,NA,5.973,NA,NA,NA
2003,Cabot Strait,NA,5.826,NA,NA,NA
2004,Cabot Strait,NA,5.832,NA,NA,NA
2005,Cabot Strait,NA,5.751,NA,NA,NA
2006,Cabot Strait,NA,5.734,NA,NA,NA
2007,Cabot Strait,NA,5.487,NA,NA,NA
2008,Cabot Strait,NA,5.522,NA,NA,NA
2009,Cabot Strait,NA,5.165,NA,NA,NA
2010,Cabot Strait,NA,5.933,NA,NA,NA
2011,Cabot Strait,NA,6.217,NA,NA,NA
2012,Cabot Strait,NA,6.599,NA,NA,NA
2013,Cabot Strait,NA,5.805,NA,NA,NA
2014,Cabot Strait,NA,6.499,NA,NA,NA
2015,Cabot Strait,NA,6.48,NA,NA,NA
2016,Cabot Strait,NA,6.798,NA,NA,NA
2017,Cabot Strait,NA,6.8,NA,NA,NA
2018,Cabot Strait,NA,6.574,NA,NA,NA
2019,Cabot Strait,NA,7.252,NA,NA,NA
1950,E Georges Bank,NA,8.05,NA,NA,NA
1951,E Georges Bank,NA,9.41,NA,NA,NA
1952,E Georges Bank,NA,8.35,NA,NA,NA
1953,E Georges Bank,NA,8.28,NA,NA,NA
1954,E Georges Bank,NA,9.57,NA,NA,NA
1955,E Georges Bank,NA,8.31,NA,NA,NA
1956,E Georges Bank,NA,7.58,NA,NA,NA
1957,E Georges Bank,NA,8.03,NA,NA,NA
1958,E Georges Bank,NA,7.81,NA,NA,NA
1959,E Georges Bank,NA,7.41,NA,NA,NA
1960,E Georges Bank,NA,6.84,NA,NA,NA
1961,E Georges Bank,NA,6.19,NA,NA,NA
1962,E Georges Bank,NA,6.25,NA,NA,NA
1963,E Georges Bank,NA,7.03,NA,NA,NA
1964,E Georges Bank,NA,6.38,NA,NA,NA
1965,E Georges Bank,NA,6.38,NA,NA,NA
1966,E Georges Bank,NA,6,NA,NA,NA
1967,E Georges Bank,NA,6.97,NA,NA,NA
1968,E Georges Bank,NA,6.87,NA,NA,NA
1969,E Georges Bank,NA,7.74,NA,NA,NA
1970,E Georges Bank,NA,6.79,NA,NA,NA
1971,E Georges Bank,NA,7.34,NA,NA,NA
1972,E Georges Bank,NA,7.43,NA,NA,NA
1973,E Georges Bank,NA,8.48,NA,NA,NA
1974,E Georges Bank,NA,8.78,NA,NA,NA
1975,E Georges Bank,NA,7.9,NA,NA,NA
1976,E Georges Bank,NA,8.44,NA,NA,NA
1977,E Georges Bank,NA,7.77,NA,NA,NA
1978,E Georges Bank,NA,7.57,NA,NA,NA
1979,E Georges Bank,NA,8.39,NA,NA,NA
1980,E Georges Bank,NA,8.62,NA,NA,NA
1981,E Georges Bank,NA,7.65,NA,NA,NA
1982,E Georges Bank,NA,7.16,NA,NA,NA
1983,E Georges Bank,NA,8.12,NA,NA,NA
1984,E Georges Bank,NA,8.21,NA,NA,NA
1985,E Georges Bank,NA,8.78,NA,NA,NA
1986,E Georges Bank,NA,8.07,NA,NA,NA
1987,E Georges Bank,NA,7.07,NA,NA,NA
1988,E Georges Bank,NA,7.8,NA,NA,NA
1989,E Georges Bank,NA,7.25,NA,NA,NA
1990,E Georges Bank,NA,8.11,NA,NA,NA
1991,E Georges Bank,NA,8.34,NA,NA,NA
1992,E Georges Bank,NA,7.46,NA,NA,NA
1993,E Georges Bank,NA,7.53,NA,NA,NA
1994,E Georges Bank,NA,8.26,NA,NA,NA
1995,E Georges Bank,NA,8.19,NA,NA,NA
1996,E Georges Bank,NA,7.58,NA,NA,NA
1997,E Georges Bank,NA,8.15,NA,NA,NA
1998,E Georges Bank,NA,7.51,NA,NA,NA
1999,E Georges Bank,NA,8.52,NA,NA,NA
2000,E Georges Bank,NA,8.55,NA,NA,NA
2001,E Georges Bank,NA,8.69,NA,NA,NA
2002,E Georges Bank,NA,8.7,NA,NA,NA
2003,E Georges Bank,NA,7.43,NA,NA,NA
2004,E Georges Bank,NA,6.47,NA,NA,NA
2005,E Georges Bank,NA,6.94,NA,NA,NA
2006,E Georges Bank,NA,7.98,NA,NA,NA
2007,E Georges Bank,NA,7.03,NA,NA,NA
2008,E Georges Bank,NA,7.82,NA,NA,NA
2009,E Georges Bank,NA,8.05,NA,NA,NA
2010,E Georges Bank,NA,8.48,NA,NA,NA
2011,E Georges Bank,NA,8.08,NA,NA,NA
2012,E Georges Bank,NA,9.65,NA,NA,NA
2013,E Georges Bank,NA,8.34,NA,NA,NA
2014,E Georges Bank,NA,8.7,NA,NA,NA
2015,E Georges Bank,NA,8.76,NA,NA,NA
2016,E Georges Bank,NA,8.75,NA,NA,NA
2017,E Georges Bank,NA,9.41,NA,NA,NA
2018,E Georges Bank,NA,8.33,NA,NA,NA
2019,E Georges Bank,NA,7.81,NA,NA,NA
1950,Emerald Basin,NA,7.52,NA,NA,NA
1951,Emerald Basin,NA,9,NA,NA,NA
1952,Emerald Basin,NA,8,NA,NA,NA
1953,Emerald Basin,NA,7.91,NA,NA,NA
1954,Emerald Basin,NA,8.91,NA,NA,NA
1955,Emerald Basin,NA,8.34,NA,NA,NA
1956,Emerald Basin,NA,8.37,NA,NA,NA
1957,Emerald Basin,NA,8.75,NA,NA,NA
1958,Emerald Basin,NA,8.16,NA,NA,NA
1959,Emerald Basin,NA,5.87,NA,NA,NA
1960,Emerald Basin,NA,7.15,NA,NA,NA
1961,Emerald Basin,NA,7.47,NA,NA,NA
1962,Emerald Basin,NA,7.9,NA,NA,NA
1963,Emerald Basin,NA,7.62,NA,NA,NA
1964,Emerald Basin,NA,5.85,NA,NA,NA
1965,Emerald Basin,NA,5.82,NA,NA,NA
1966,Emerald Basin,NA,4.83,NA,NA,NA
1967,Emerald Basin,NA,6.02,NA,NA,NA
1968,Emerald Basin,NA,7.6,NA,NA,NA
1969,Emerald Basin,NA,8.51,NA,NA,NA
1970,Emerald Basin,NA,8.51,NA,NA,NA
1971,Emerald Basin,NA,8.54,NA,NA,NA
1972,Emerald Basin,NA,8.79,NA,NA,NA
1973,Emerald Basin,NA,9.38,NA,NA,NA
1974,Emerald Basin,NA,9.6,NA,NA,NA
1975,Emerald Basin,NA,10.05,NA,NA,NA
1976,Emerald Basin,NA,8.66,NA,NA,NA
1977,Emerald Basin,NA,9.13,NA,NA,NA
1978,Emerald Basin,NA,7.36,NA,NA,NA
1979,Emerald Basin,NA,9.33,NA,NA,NA
1980,Emerald Basin,NA,8.99,NA,NA,NA
1981,Emerald Basin,NA,8.95,NA,NA,NA
1982,Emerald Basin,NA,7.42,NA,NA,NA
1983,Emerald Basin,NA,8.38,NA,NA,NA
1984,Emerald Basin,NA,9.33,NA,NA,NA
1985,Emerald Basin,NA,10.1,NA,NA,NA
1986,Emerald Basin,NA,10.29,NA,NA,NA
1987,Emerald Basin,NA,9.61,NA,NA,NA
1988,Emerald Basin,NA,8.66,NA,NA,NA
1989,Emerald Basin,NA,9.39,NA,NA,NA
1990,Emerald Basin,NA,9.53,NA,NA,NA
1991,Emerald Basin,NA,9.25,NA,NA,NA
1992,Emerald Basin,NA,9.35,NA,NA,NA
1993,Emerald Basin,NA,9.98,NA,NA,NA
1994,Emerald Basin,NA,9.88,NA,NA,NA
1995,Emerald Basin,NA,9.59,NA,NA,NA
1996,Emerald Basin,NA,9.83,NA,NA,NA
1997,Emerald Basin,NA,9.5,NA,NA,NA
1998,Emerald Basin,NA,6.97,NA,NA,NA
1999,Emerald Basin,NA,8.89,NA,NA,NA
2000,Emerald Basin,NA,9.38,NA,NA,NA
2001,Emerald Basin,NA,9.21,NA,NA,NA
2002,Emerald Basin,NA,9.27,NA,NA,NA
2003,Emerald Basin,NA,9.21,NA,NA,NA
2004,Emerald Basin,NA,9.62,NA,NA,NA
2005,Emerald Basin,NA,9.39,NA,NA,NA
2006,Emerald Basin,NA,9.55,NA,NA,NA
2007,Emerald Basin,NA,7.33,NA,NA,NA
2008,Emerald Basin,NA,8.29,NA,NA,NA
2009,Emerald Basin,NA,7.91,NA,NA,NA
2010,Emerald Basin,NA,9.78,NA,NA,NA
2011,Emerald Basin,NA,9.99,NA,NA,NA
2012,Emerald Basin,NA,9.87,NA,NA,NA
2013,Emerald Basin,NA,9.74,NA,NA,NA
2014,Emerald Basin,NA,10.51,NA,NA,NA
2015,Emerald Basin,NA,10.31,NA,NA,NA
2016,Emerald Basin,NA,10.76,NA,NA,NA
2017,Emerald Basin,NA,10.63,NA,NA,NA
2018,Emerald Basin,NA,10.75,NA,NA,NA
2019,Emerald Basin,NA,10.97,NA,NA,NA
1950,Georges Basin,NA,6.93,NA,NA,NA
1951,Georges Basin,NA,7.51,NA,NA,NA
1953,Georges Basin,NA,7.57,NA,NA,NA
1954,Georges Basin,NA,7.67,NA,NA,NA
1955,Georges Basin,NA,7.48,NA,NA,NA
1956,Georges Basin,NA,7.73,NA,NA,NA
1957,Georges Basin,NA,8,NA,NA,NA
1958,Georges Basin,NA,7.65,NA,NA,NA
1959,Georges Basin,NA,6.38,NA,NA,NA
1960,Georges Basin,NA,8.01,NA,NA,NA
1961,Georges Basin,NA,6.7,NA,NA,NA
1962,Georges Basin,NA,7.06,NA,NA,NA
1963,Georges Basin,NA,7.66,NA,NA,NA
1964,Georges Basin,NA,5.88,NA,NA,NA
1965,Georges Basin,NA,5.98,NA,NA,NA
1966,Georges Basin,NA,5.99,NA,NA,NA
1967,Georges Basin,NA,6.37,NA,NA,NA
1968,Georges Basin,NA,7.09,NA,NA,NA
1969,Georges Basin,NA,7.36,NA,NA,NA
1970,Georges Basin,NA,7.41,NA,NA,NA
1971,Georges Basin,NA,8.08,NA,NA,NA
1972,Georges Basin,NA,8.48,NA,NA,NA
1973,Georges Basin,NA,8.5,NA,NA,NA
1974,Georges Basin,NA,8.76,NA,NA,NA
1975,Georges Basin,NA,8.57,NA,NA,NA
1976,Georges Basin,NA,8.62,NA,NA,NA
1977,Georges Basin,NA,7.57,NA,NA,NA
1978,Georges Basin,NA,7.36,NA,NA,NA
1979,Georges Basin,NA,8.31,NA,NA,NA
1980,Georges Basin,NA,8.04,NA,NA,NA
1981,Georges Basin,NA,7.5,NA,NA,NA
1982,Georges Basin,NA,7.18,NA,NA,NA
1983,Georges Basin,NA,8.32,NA,NA,NA
1984,Georges Basin,NA,8.39,NA,NA,NA
1985,Georges Basin,NA,9,NA,NA,NA
1986,Georges Basin,NA,8.69,NA,NA,NA
1987,Georges Basin,NA,8.04,NA,NA,NA
1988,Georges Basin,NA,8.1,NA,NA,NA
1989,Georges Basin,NA,7.96,NA,NA,NA
1990,Georges Basin,NA,8.02,NA,NA,NA
1991,Georges Basin,NA,8.19,NA,NA,NA
1992,Georges Basin,NA,8.36,NA,NA,NA
1993,Georges Basin,NA,8.39,NA,NA,NA
1994,Georges Basin,NA,8.73,NA,NA,NA
1995,Georges Basin,NA,8.88,NA,NA,NA
1996,Georges Basin,NA,8.76,NA,NA,NA
1997,Georges Basin,NA,8.42,NA,NA,NA
1998,Georges Basin,NA,6.87,NA,NA,NA
1999,Georges Basin,NA,8.76,NA,NA,NA
2000,Georges Basin,NA,8.79,NA,NA,NA
2001,Georges Basin,NA,8.34,NA,NA,NA
2002,Georges Basin,NA,8.44,NA,NA,NA
2003,Georges Basin,NA,8.7,NA,NA,NA
2004,Georges Basin,NA,8.27,NA,NA,NA
2005,Georges Basin,NA,8.07,NA,NA,NA
2006,Georges Basin,NA,8.52,NA,NA,NA
2007,Georges Basin,NA,7.5,NA,NA,NA
2008,Georges Basin,NA,7.68,NA,NA,NA
2009,Georges Basin,NA,8.21,NA,NA,NA
2010,Georges Basin,NA,9.21,NA,NA,NA
2011,Georges Basin,NA,8.8,NA,NA,NA
2012,Georges Basin,NA,8.78,NA,NA,NA
2013,Georges Basin,NA,9.31,NA,NA,NA
2014,Georges Basin,NA,9.43,NA,NA,NA
2015,Georges Basin,NA,9.28,NA,NA,NA
2016,Georges Basin,NA,9.66,NA,NA,NA
2017,Georges Basin,NA,9.79,NA,NA,NA
2018,Georges Basin,NA,10.18,NA,NA,NA
2019,Georges Basin,NA,9.99,NA,NA,NA
1950,Lurcher Shoal,NA,6.91,NA,NA,NA
1951,Lurcher Shoal,NA,7.313,NA,NA,NA
1952,Lurcher Shoal,NA,6.14,NA,NA,NA
1953,Lurcher Shoal,NA,6.923,NA,NA,NA
1954,Lurcher Shoal,NA,6.455,NA,NA,NA
1955,Lurcher Shoal,NA,6.515,NA,NA,NA
1956,Lurcher Shoal,NA,6.267,NA,NA,NA
1957,Lurcher Shoal,NA,6.274,NA,NA,NA
1958,Lurcher Shoal,NA,6.446,NA,NA,NA
1959,Lurcher Shoal,NA,5.689,NA,NA,NA
1960,Lurcher Shoal,NA,5.718,NA,NA,NA
1961,Lurcher Shoal,NA,5.583,NA,NA,NA
1962,Lurcher Shoal,NA,5.898,NA,NA,NA
1963,Lurcher Shoal,NA,6.65,NA,NA,NA
1964,Lurcher Shoal,NA,4.948,NA,NA,NA
1965,Lurcher Shoal,NA,4.904,NA,NA,NA
1966,Lurcher Shoal,NA,5.113,NA,NA,NA
1967,Lurcher Shoal,NA,5.29,NA,NA,NA
1968,Lurcher Shoal,NA,5.988,NA,NA,NA
1969,Lurcher Shoal,NA,6.7,NA,NA,NA
1970,Lurcher Shoal,NA,6.566,NA,NA,NA
1971,Lurcher Shoal,NA,6.856,NA,NA,NA
1972,Lurcher Shoal,NA,6.769,NA,NA,NA
1973,Lurcher Shoal,NA,6.656,NA,NA,NA
1974,Lurcher Shoal,NA,7.498,NA,NA,NA
1975,Lurcher Shoal,NA,6.66,NA,NA,NA
1976,Lurcher Shoal,NA,8.142,NA,NA,NA
1977,Lurcher Shoal,NA,6.189,NA,NA,NA
1978,Lurcher Shoal,NA,6.103,NA,NA,NA
1979,Lurcher Shoal,NA,7.421,NA,NA,NA
1980,Lurcher Shoal,NA,6.63,NA,NA,NA
1981,Lurcher Shoal,NA,6.433,NA,NA,NA
1982,Lurcher Shoal,NA,6.789,NA,NA,NA
1983,Lurcher Shoal,NA,6.672,NA,NA,NA
1984,Lurcher Shoal,NA,7.051,NA,NA,NA
1985,Lurcher Shoal,NA,6.739,NA,NA,NA
1986,Lurcher Shoal,NA,7.3,NA,NA,NA
1987,Lurcher Shoal,NA,5.487,NA,NA,NA
1988,Lurcher Shoal,NA,5.224,NA,NA,NA
1989,Lurcher Shoal,NA,5.954,NA,NA,NA
1990,Lurcher Shoal,NA,6.637,NA,NA,NA
1991,Lurcher Shoal,NA,5.417,NA,NA,NA
1992,Lurcher Shoal,NA,5.266,NA,NA,NA
1993,Lurcher Shoal,NA,5.984,NA,NA,NA
1994,Lurcher Shoal,NA,6.321,NA,NA,NA
1995,Lurcher Shoal,NA,6.176,NA,NA,NA
1996,Lurcher Shoal,NA,5.667,NA,NA,NA
1997,Lurcher Shoal,NA,6.493,NA,NA,NA
1998,Lurcher Shoal,NA,5.346,NA,NA,NA
1999,Lurcher Shoal,NA,7.319,NA,NA,NA
2000,Lurcher Shoal,NA,7.841,NA,NA,NA
2001,Lurcher Shoal,NA,5.793,NA,NA,NA
2002,Lurcher Shoal,NA,7.38,NA,NA,NA
2003,Lurcher Shoal,NA,6.898,NA,NA,NA
2004,Lurcher Shoal,NA,5.528,NA,NA,NA
2005,Lurcher Shoal,NA,5.987,NA,NA,NA
2006,Lurcher Shoal,NA,7.65,NA,NA,NA
2007,Lurcher Shoal,NA,5.355,NA,NA,NA
2008,Lurcher Shoal,NA,6.457,NA,NA,NA
2009,Lurcher Shoal,NA,7.528,NA,NA,NA
2010,Lurcher Shoal,NA,6.435,NA,NA,NA
2011,Lurcher Shoal,NA,7.63,NA,NA,NA
2012,Lurcher Shoal,NA,9.462,NA,NA,NA
2013,Lurcher Shoal,NA,7.377,NA,NA,NA
2014,Lurcher Shoal,NA,8.066,NA,NA,NA
2015,Lurcher Shoal,NA,7.451,NA,NA,NA
2016,Lurcher Shoal,NA,7.296,NA,NA,NA
2018,Lurcher Shoal,NA,8.612,NA,NA,NA
2019,Lurcher Shoal,NA,6.645,NA,NA,NA
1950,Misaine Bank,NA,1.7553,NA,NA,NA
1951,Misaine Bank,NA,2.5359,NA,NA,NA
1952,Misaine Bank,NA,2.7611,NA,NA,NA
1953,Misaine Bank,NA,2.1154,NA,NA,NA
1954,Misaine Bank,NA,2.1021,NA,NA,NA
1955,Misaine Bank,NA,1.9474,NA,NA,NA
1956,Misaine Bank,NA,1.9161,NA,NA,NA
1957,Misaine Bank,NA,1.109,NA,NA,NA
1958,Misaine Bank,NA,2.12,NA,NA,NA
1959,Misaine Bank,NA,0.7352,NA,NA,NA
1960,Misaine Bank,NA,2.0899,NA,NA,NA
1961,Misaine Bank,NA,0.7997,NA,NA,NA
1962,Misaine Bank,NA,1.4636,NA,NA,NA
1963,Misaine Bank,NA,1.9534,NA,NA,NA
1964,Misaine Bank,NA,1.4924,NA,NA,NA
1965,Misaine Bank,NA,1.2272,NA,NA,NA
1966,Misaine Bank,NA,1.43,NA,NA,NA
1967,Misaine Bank,NA,1.8195,NA,NA,NA
1968,Misaine Bank,NA,1.8344,NA,NA,NA
1969,Misaine Bank,NA,1.7233,NA,NA,NA
1970,Misaine Bank,NA,2.1623,NA,NA,NA
1971,Misaine Bank,NA,2.1876,NA,NA,NA
1972,Misaine Bank,NA,1.6897,NA,NA,NA
1973,Misaine Bank,NA,1.1339,NA,NA,NA
1974,Misaine Bank,NA,1.3109,NA,NA,NA
1975,Misaine Bank,NA,1.7013,NA,NA,NA
1976,Misaine Bank,NA,1.6989,NA,NA,NA
1977,Misaine Bank,NA,2.6363,NA,NA,NA
1978,Misaine Bank,NA,2.1538,NA,NA,NA
1979,Misaine Bank,NA,1.918,NA,NA,NA
1980,Misaine Bank,NA,1.953,NA,NA,NA
1981,Misaine Bank,NA,2.4551,NA,NA,NA
1982,Misaine Bank,NA,0.9407,NA,NA,NA
1983,Misaine Bank,NA,1.574,NA,NA,NA
1984,Misaine Bank,NA,3.072,NA,NA,NA
1985,Misaine Bank,NA,1.2133,NA,NA,NA
1986,Misaine Bank,NA,0.5272,NA,NA,NA
1987,Misaine Bank,NA,0.936,NA,NA,NA
1988,Misaine Bank,NA,1.9343,NA,NA,NA
1989,Misaine Bank,NA,0.9186,NA,NA,NA
1990,Misaine Bank,NA,0.4586,NA,NA,NA
1991,Misaine Bank,NA,0.7353,NA,NA,NA
1992,Misaine Bank,NA,0.9,NA,NA,NA
1993,Misaine Bank,NA,1.3797,NA,NA,NA
1994,Misaine Bank,NA,1.4498,NA,NA,NA
1995,Misaine Bank,NA,1.189,NA,NA,NA
1996,Misaine Bank,NA,1.3039,NA,NA,NA
1997,Misaine Bank,NA,1.5204,NA,NA,NA
1998,Misaine Bank,NA,1.6686,NA,NA,NA
1999,Misaine Bank,NA,2.1498,NA,NA,NA
2000,Misaine Bank,NA,2.5021,NA,NA,NA
2001,Misaine Bank,NA,1.515,NA,NA,NA
2002,Misaine Bank,NA,1.6927,NA,NA,NA
2003,Misaine Bank,NA,0.6261,NA,NA,NA
2004,Misaine Bank,NA,0.9588,NA,NA,NA
2005,Misaine Bank,NA,1.7339,NA,NA,NA
2006,Misaine Bank,NA,2.2449,NA,NA,NA
2007,Misaine Bank,NA,1.2126,NA,NA,NA
2008,Misaine Bank,NA,1.5548,NA,NA,NA
2009,Misaine Bank,NA,1.9258,NA,NA,NA
2010,Misaine Bank,NA,1.954,NA,NA,NA
2011,Misaine Bank,NA,2.2734,NA,NA,NA
2012,Misaine Bank,NA,2.8033,NA,NA,NA
2013,Misaine Bank,NA,1.9178,NA,NA,NA
2014,Misaine Bank,NA,2.1184,NA,NA,NA
2015,Misaine Bank,NA,2.5405,NA,NA,NA
2016,Misaine Bank,NA,2.7416,NA,NA,NA
2017,Misaine Bank,NA,1.9393,NA,NA,NA
2018,Misaine Bank,NA,2.0626,NA,NA,NA
2019,Misaine Bank,NA,1.3149,NA,NA,NA
1970,4V,NA,3.98,NA,NA,NA
1971,4V,NA,3.58,NA,NA,NA
1972,4V,NA,3.68,NA,NA,NA
