section,year,Calanus_finmarchicus_log10,Pseudocalanus_log10,copepods_log10,non_copepods_log10,Arctic_Calanus_species_log10,warm_offshore_copepods_log10,warm_shelf_copepods_log10,mesozooplankton_dry_biomass,zooplankton_wet_biomass
CSL,2013,3.8019415117488067,3.856398597656311,4.977929623272449,4.1647122601255075,3.779373579886575,0.23641036338866017,4.198030811863873e-15,13.239777004816535,52.69030480993115
CSL,2014,3.748420139034987,4.393666730189706,5.333066847969896,4.626226934656371,3.8736100810097356,0.5528810874023912,-3.12944115066216e-15,9.194703385180777,46.59259473336316
CSL,2015,3.168671339766133,4.161159499018268,5.085349773166941,4.416312689797316,3.100410204833442,0.5895365457552736,-0.21092187224182116,4.3967609410294735,33.870804596147586
CSL,2016,3.771560896879586,3.9864412025034626,5.207143797582363,4.700499380009438,3.8500053061772435,1.0001460843277632,0.7840021673283725,5.539474619746804,42.22800337391198
CSL,2017,3.6890952291269268,4.022320765498296,5.1418453879488375,4.316867724699393,3.1557641266944376,0.5079171626047448,0.7794242483701226,6.97471265821869,48.89835326612591
CSL,2018,3.7021552643056146,4.073057822903083,5.129330437936519,4.461883370382311,3.923250382178353,0.23639515860021162,1.6388807860414583,6.393707468251173,45.966982498715865
CSL,2019,3.692893008497521,3.8567845189362533,5.084138280208454,4.5760460204796,3.63412258926176,0.3253516705889659,1.0965617155425191,5.531907877192412,41.029239449673256
LL,1999,4.288574319987943,4.332449100357565,5.5237634676960665,4.553620200492036,2.4556840255702377,1.1057093637832387,2.3640347053603534,NA,32.23922685395869
LL,2000,3.847960083054363,3.4363765201192673,5.230104321304564,4.069390622794733,2.497755715039484,1.4980474897068121,3.2483318869839617,NA,23.098919292747635
LL,2001,3.9602455526531135,4.109657684786836,5.253637153517651,4.5808712484585214,3.1352547296617184,0.7525352448408051,2.692509208257001,7.412803645141664,63.9625379509203
LL,2002,4.529025163983074,4.206730407569422,5.119564326586108,4.261207829152235,3.0808500132662258,0.6141127761568472,1.8855382917520607,4.047229677389009,51.73323630504017
LL,2003,3.9060453416899317,3.908284479913435,5.348149884610942,4.0811345904060365,2.9976245493448843,0.8550593870495995,2.6101292925252473,4.985910318521386,46.52001193328174
LL,2004,4.088020657220202,3.967711525566756,5.241042745091195,4.305575450504083,2.9425974990757777,0.9883614443548046,1.1854120842073974,5.571780469024805,42.09040278734655
LL,2005,4.092895926988166,3.778982499395872,5.30793064857502,4.429769242414167,2.73138927503902,1.3017483367535598,2.2420405198638176,4.276298545586897,30.724520581619835
