year,month,station,sea_surface_height
1946,3,Halifax,0.9
1946,4,Halifax,0.9
1946,5,Halifax,0.8
1946,6,Halifax,0.8
1946,7,Halifax,0.8
1946,8,Halifax,0.9
1946,9,Halifax,0.8
1946,10,Halifax,0.9
1946,11,Halifax,1
1946,12,Halifax,0.9
1947,1,Halifax,0.9
1947,2,Halifax,1
1947,3,Halifax,1
1947,4,Halifax,0.9
1947,5,Halifax,0.9
1947,6,Halifax,0.9
1947,7,Halifax,0.9
1947,8,Halifax,0.8
1947,9,Halifax,0.9
1947,10,Halifax,0.9
1947,11,Halifax,1.1
1947,12,Halifax,1
1948,1,Halifax,1
1948,2,Halifax,0.9
1948,3,Halifax,0.9
1948,4,Halifax,0.9
1948,5,Halifax,0.9
1948,6,Halifax,0.9
1948,7,Halifax,0.9
1948,8,Halifax,0.9
1948,9,Halifax,0.9
1948,10,Halifax,0.9
1948,11,Halifax,0.9
1948,12,Halifax,1
1949,1,Halifax,0.9
1949,2,Halifax,0.9
1949,3,Halifax,0.8
1949,4,Halifax,0.9
1949,5,Halifax,0.9
1949,6,Halifax,0.8
1949,7,Halifax,0.9
1949,8,Halifax,0.9
1949,9,Halifax,0.9
1949,10,Halifax,0.9
1949,11,Halifax,0.9
1949,12,Halifax,0.8
1950,1,Halifax,0.9
1950,2,Halifax,0.9
1950,3,Halifax,0.9
1950,4,Halifax,0.9
1950,5,Halifax,0.8
1950,6,Halifax,0.8
1950,7,Halifax,0.8
1950,8,Halifax,0.8
1950,9,Halifax,0.9
1950,10,Halifax,0.9
1950,11,Halifax,0.9
1950,12,Halifax,0.9
1951,1,Halifax,0.9
1951,2,Halifax,0.9
1951,3,Halifax,0.9
1951,4,Halifax,0.9
1951,5,Halifax,0.9
1951,6,Halifax,0.9
1951,7,Halifax,0.9
1951,8,Halifax,0.9
1951,9,Halifax,0.9
1951,10,Halifax,0.9
1951,11,Halifax,1
1951,12,Halifax,1
1952,1,Halifax,1
1952,2,Halifax,1
1952,3,Halifax,0.9
1952,4,Halifax,0.9
1952,5,Halifax,1
1952,6,Halifax,0.9
1952,7,Halifax,0.8
1952,8,Halifax,0.9
1952,9,Halifax,0.9
1952,10,Halifax,0.9
1952,11,Halifax,1
1952,12,Halifax,1
1953,1,Halifax,1
1953,2,Halifax,0.9
1953,3,Halifax,0.9
1953,4,Halifax,0.9
1953,5,Halifax,0.9
1953,6,Halifax,0.9
1953,7,Halifax,0.9
1953,8,Halifax,0.9
1953,9,Halifax,0.9
1953,10,Halifax,0.9
1953,11,Halifax,0.9
1953,12,Halifax,1
1954,1,Halifax,1
1954,2,Halifax,1
1954,3,Halifax,0.9
1954,4,Halifax,0.8
1954,5,Halifax,0.9
1954,6,Halifax,0.9
1954,7,Halifax,0.9
1954,8,Halifax,0.9
1954,9,Halifax,0.9
1954,10,Halifax,0.9
1954,11,Halifax,0.9
1954,12,Halifax,0.9
1955,1,Halifax,1.1
1955,2,Halifax,0.9
1955,3,Halifax,0.9
1955,4,Halifax,0.9
1955,5,Halifax,0.9
1955,6,Halifax,0.9
1955,7,Halifax,0.9
1955,8,Halifax,0.9
1955,9,Halifax,0.9
1955,10,Halifax,0.9
1955,11,Halifax,1
1955,12,Halifax,1
1956,1,Halifax,1
1956,2,Halifax,0.9
1956,3,Halifax,0.9
1956,4,Halifax,0.9
1956,5,Halifax,0.9
1956,6,Halifax,0.9
1956,7,Halifax,0.9
1956,8,Halifax,0.9
1956,9,Halifax,0.9
1956,10,Halifax,0.9
1956,11,Halifax,0.9
1956,12,Halifax,0.9
1957,1,Halifax,0.9
1957,2,Halifax,0.9
1957,3,Halifax,1
1957,4,Halifax,0.9
1957,5,Halifax,0.9
1957,6,Halifax,0.9
1957,7,Halifax,0.9
1957,8,Halifax,0.9
1957,9,Halifax,0.9
1957,10,Halifax,0.9
1957,11,Halifax,0.9
1957,12,Halifax,0.9
1958,1,Halifax,1
1958,2,Halifax,1.1
1958,3,Halifax,1.1
1958,4,Halifax,1
1958,5,Halifax,0.8
1958,6,Halifax,0.9
1958,7,Halifax,0.9
1958,8,Halifax,0.9
1958,9,Halifax,0.9
1958,10,Halifax,0.9
1958,11,Halifax,1
